Port,SupplyDemand,Num Samples
Bintulu-9138ac0a6d36,Supply,167
Bizerte-7acaf9640d06,Demand,21
Bizerte-7acaf9640d06,Supply,126
Bonny-775a4af5a5d0,Supply,408
Boothville-58c144c740f9,Demand,94
Borssele-de0808e9fb6b,Demand,10
Botany Bay-e95064e7be7a,Demand,25
Boulogne-sur-mer-24b4a8d53d38,Demand,12
Bourgas-16d93a3bfdd3,Demand,80
Bourgas-16d93a3bfdd3,Supply,77
Bouri-58e9b14b246d,Supply,121
Bozcaada-66352f54629d,Demand,128
Bozcaada-66352f54629d,Supply,52
Braithwaite-b1d8281d4bdb,Demand,83
Braithwaite-b1d8281d4bdb,Supply,27
Brass River-514a6c5295d8,Supply,459
Bridlington-7a14825d8088,Demand,14
Brisbane-2fb2da59f3d2,Demand,161
Brofjorden-8f0115714312,Demand,190
Brownsville-03c37f9d341d,Supply,59
Brunsbuttel-04769aa33742,Demand,148
Buenos Aires-5bd47f0ab4c0,Demand,14
Bukhta Vanina-3afcf26fbc36,Supply,61
Bullen Baai-4c584f3701f5,Demand,32
Bullen Baai-4c584f3701f5,Supply,15
Burnside-9cb1bffd1db9,Demand,447
Busan-de280da8be4e,Demand,26
Bushehr-f81f1081948c,Supply,23
Butinge Terminal-f297ef573599,Demand,69
Cabinda-459ca6a07faf,Supply,28
Calais-37c741d0d905,Demand,15
Caleta Cordova-d38c32cf43d2,Supply,18
Caleta Olivia-e52e82965ea8,Supply,50
Caleta Paula-700d0c4f0c4f,Supply,189
Callao-324582de5e88,Demand,789
Callao-324582de5e88,Supply,198
Canuku Terminal-f70399be83e6,Supply,78
Caofeidian-29498c3cc308,Demand,97
Caofeidian-29498c3cc308,Supply,403
Cap Lopez-96c15e5e9e71,Supply,11
Cape Comorin-a3ddd23d6cf8,Demand,188
Cape Comorin-a3ddd23d6cf8,Supply,93
Cape Henlopen-e6bb66ba06d7,Demand,93
Cape Henlopen-e6bb66ba06d7,Supply,342
Cape May-485c180b3d95,Demand,381
Cape May-485c180b3d95,Supply,65
Cape Town-991a024cbdf1,Supply,67
Car Nicobar-b5a690362da1,Demand,11
Car Nicobar-b5a690362da1,Supply,12
Cartagena-4232156d91ca,Supply,137
Cartagena-c83bf0dcc291,Demand,268
Cartagena-c83bf0dcc291,Supply,38
Castellon-08c2845d53fd,Demand,2555
Castries-21a3c522ed78,Demand,2258
Castries-21a3c522ed78,Supply,165
Cayo Arcas Terminal-b6b6e0d459e4,Demand,18
Cayo Arcas Terminal-b6b6e0d459e4,Supply,14
